,team,site,dh,date,number,gameId
4,KTOB,https://sports.daum.net/game/80045435/highlight/vod:417592013,0,20210321,1,20210321KTOB02021-1
6,KTOB,https://sports.daum.net/game/80045435/highlight/vod:417588474,0,20210321,2,20210321KTOB02021-2
12,SKNC,https://sports.daum.net/game/80045435/highlight/vod:417589708,0,20210321,3,20210321SKNC02021-3
33,WOSS,https://sports.daum.net/game/80045435/highlight/vod:417626874,0,20210322,2,20210322WOSS02021-2
34,WOSS,https://sports.daum.net/game/80045435/highlight/vod:417625219,0,20210322,1,20210322WOSS02021-1
93,LTHH,https://sports.daum.net/game/80045435/highlight/vod:417785171,0,20210328,2,20210328LTHH02021-2
94,LTHH,https://sports.daum.net/game/80045435/highlight/vod:417783900,0,20210328,1,20210328LTHH02021-1
100,SSLG,https://sports.daum.net/game/80045435/highlight/vod:417783863,0,20210328,1,20210328SSLG02021-1
123,NCLT,https://sports.daum.net/game/80045435/highlight/vod:417854474,0,20210330,3,20210330NCLT02021-3
124,NCLT,https://sports.daum.net/game/80045435/highlight/vod:417852647,0,20210330,2,20210330NCLT02021-2
125,NCLT,https://sports.daum.net/game/80045435/highlight/vod:417851075,0,20210330,1,20210330NCLT02021-1
145,LTSK,https://sports.daum.net/game/80045435/highlight/vod:417984830,0,20210404,1,20210404LTSK02021-1
156,HTWO,https://sports.daum.net/game/80045435/highlight/vod:418054480,0,20210406,3,20210406HTWO02021-3
160,LGKT,https://sports.daum.net/game/80045435/highlight/vod:418054481,0,20210406,3,20210406LGKT02021-3
256,WOLT,https://sports.daum.net/game/80045435/highlight/vod:418158370,0,20210410,1,20210410WOLT02021-1
279,HHSS,https://sports.daum.net/game/80045435/highlight/vod:418246944,0,20210413,2,20210413HHSS02021-2
294,NCSK,https://sports.daum.net/game/80045435/highlight/vod:418248893,0,20210413,3,20210413NCSK02021-3
296,NCSK,https://sports.daum.net/game/80045435/highlight/vod:418245027,0,20210413,1,20210413NCSK02021-1
300,HHSS,https://sports.daum.net/game/80045435/highlight/vod:418274696,0,20210414,1,20210414HHSS02021-1
303,KTOB,https://sports.daum.net/game/80045435/highlight/vod:418276288,0,20210414,2,20210414KTOB02021-2
307,LGWO,https://sports.daum.net/game/80045435/highlight/vod:418276360,0,20210414,2,20210414LGWO02021-2
308,LGWO,https://sports.daum.net/game/80045435/highlight/vod:418274639,0,20210414,1,20210414LGWO02021-1
371,SSLT,https://sports.daum.net/game/80045435/highlight/vod:418355533,0,20210417,2,20210417SSLT02021-2
399,HTLG,https://sports.daum.net/game/80045435/highlight/vod:418437760,0,20210420,2,20210420HTLG02021-2
415,WOHH,https://sports.daum.net/game/80045435/highlight/vod:418435933,0,20210420,1,20210420WOHH02021-1
419,HTLG,https://sports.daum.net/game/80045435/highlight/vod:418463835,0,20210421,1,20210421HTLG02021-1
423,KTNC,https://sports.daum.net/game/80045435/highlight/vod:418464071,0,20210421,1,20210421KTNC02021-1
470,SKWO,https://sports.daum.net/game/80045435/highlight/vod:418527203,0,20210423,1,20210423SKWO02021-1
481,SKWO,https://sports.daum.net/game/80045435/highlight/vod:418539541,0,20210424,2,20210424SKWO02021-2
499,LTKT,https://sports.daum.net/game/80045435/highlight/vod:418565135,0,20210425,4,20210425LTKT02021-4
529,NCSS,https://sports.daum.net/game/80045435/highlight/vod:418621462,0,20210427,1,20210427NCSS02021-1
603,LGSS,https://sports.daum.net/game/80045435/highlight/vod:418731601,0,20210501,3,20210501LGSS02021-3
605,LGSS,https://sports.daum.net/game/80045435/highlight/vod:418728906,0,20210501,1,20210501LGSS02021-1
608,SKOB,https://sports.daum.net/game/80045435/highlight/vod:418731638,0,20210501,3,20210501SKOB02021-3
609,SKOB,https://sports.daum.net/game/80045435/highlight/vod:418730244,0,20210501,2,20210501SKOB02021-2
622,HTKT,https://sports.daum.net/game/80045435/highlight/vod:418749167,0,20210502,1,20210502HTKT02021-1
631,WONC,https://sports.daum.net/game/80045435/highlight/vod:418753476,0,20210502,1,20210502WONC02021-1
683,LTSS,https://sports.daum.net/game/80045435/highlight/vod:418928002,0,20210508,4,20210508LTSS02021-4
686,LTSS,https://sports.daum.net/game/80045435/highlight/vod:418923289,0,20210508,2,20210508LTSS02021-2
688,NCKT,https://sports.daum.net/game/80045435/highlight/vod:418927433,0,20210508,5,20210508NCKT02021-5
766,SKLT,https://sports.daum.net/game/80045435/highlight/vod:419040587,0,20210512,3,20210512SKLT02021-3
772,SSKT,https://sports.daum.net/game/80045435/highlight/vod:419036920,0,20210512,1,20210512SSKT02021-1
778,LGHT,https://sports.daum.net/game/80045435/highlight/vod:419067368,0,20210513,2,20210513LGHT02021-2
830,SSLG,https://sports.daum.net/game/80045435/highlight/vod:419119112,0,20210515,2,20210515SSLG02021-2
831,SSLG,https://sports.daum.net/game/80045435/highlight/vod:419117832,0,20210515,1,20210515SSLG02021-1
838,OBSK,https://sports.daum.net/game/80045435/highlight/vod:419174235,0,20210517,1,20210517OBSK02021-1
860,WOSS,https://sports.daum.net/game/80045435/highlight/vod:419207497,0,20210518,3,20210518WOSS02021-3
882,WOSS,https://sports.daum.net/game/80045435/highlight/vod:419222435,0,20210519,1,20210519WOSS02021-1
915,LGSK,https://sports.daum.net/game/80045435/highlight/vod:419312507,0,20210522,3,20210522LGSK02021-3
941,LTOB,https://sports.daum.net/game/80045435/highlight/vod:419331654,0,20210523,1,20210523LTOB02021-1
942,LTOB,https://sports.daum.net/game/80045435/highlight/vod:419330231,0,20210523,1,20210523LTOB02021-1
1016,OBSS,https://sports.daum.net/game/80045435/highlight/vod:419509402,0,20210529,3,20210529OBSS02021-3
1025,WOLG,https://sports.daum.net/game/80045435/highlight/vod:419511676,0,20210529,4,20210529WOLG02021-4
1034,KTHT,https://sports.daum.net/game/80045435/highlight/vod:419530634,0,20210530,3,20210530KTHT02021-3
