,date,number,site,src,team
0,210321,4,https://sports.daum.net/game/80045435/highlight/vod:417590104,https://vsu.play.daum.net/vod/rv3por5diphyomgl33a5jdl7b/mp4/mp4/rv3por5diphyomgl33a5jdl7b_mp4_1920_1080_4M_T1.mp4?px-time=1627027484&px-bps=15457030&px-bufahead=10&px-hash=34a90d1e03b54ad76b49d00c5ae77256,HTSS
1,210321,3,https://sports.daum.net/game/80045435/highlight/vod:417589743,https://vsl.play.daum.net/vod/rv3befre9n0xdj1urlubsdma9/mp4/mp4/rv3befre9n0xdj1urlubsdma9_mp4_1920_1080_4M_T1.mp4?e=1627027490&rs=15252&ri=16195&h=5ce9cde07b0f1904cd45e22cea4c0634,HTSS
2,210321,2,https://sports.daum.net/game/80045435/highlight/vod:417588203,https://vsl.play.daum.net/vod/rvo3btalpg3g44nz6rr02lm7c/mp4/mp4/rvo3btalpg3g44nz6rr02lm7c_mp4_1920_1080_4M_T1.mp4?e=1627027493&rs=15040&ri=16200&h=9e48246457a2b6a6c51551a1e344be7b,HTSS
3,210321,1,https://sports.daum.net/game/80045435/highlight/vod:417586768,https://vsl.play.daum.net/vod/rv0wauaiz6txv4rimflgof2lc/mp4/mp4/rv0wauaiz6txv4rimflgof2lc_mp4_1920_1080_4M_T1.mp4?e=1627027496&rs=15129&ri=16195&h=b65306898128701f3e6f4b725bb1466e,HTSS
5,210321,3,https://sports.daum.net/game/80045435/highlight/vod:417589723,https://vsu.play.daum.net/vod/rvpvjsc9nd3u89x23tl7mo049/mp4/mp4/rvpvjsc9nd3u89x23tl7mo049_mp4_1920_1080_4M_T1.mp4?px-time=1627027503&px-bps=10513383&px-bufahead=11&px-hash=f32056e209fcc0140c86c55ebfc98de6,KTOB
6,210321,2,https://sports.daum.net/game/80045435/highlight/vod:417588474,https://vsu.play.daum.net/vod/rv2b0466h4f2rbwppfpv4b77i/mp4/mp4/rv2b0466h4f2rbwppfpv4b77i_mp4_1920_1080_4M_T1.mp4?px-time=1627027507&px-bps=10457338&px-bufahead=11&px-hash=5b6203dadc839b6e93ad6ff9e77218eb,KTOB
7,210321,4,https://sports.daum.net/game/80045435/highlight/vod:417590130,https://vsu.play.daum.net/vod/rv5r3bcordwz56cf4nvp1vgv0/mp4/mp4/rv5r3bcordwz56cf4nvp1vgv0_mp4_1920_1080_4M_T1.mp4?px-time=1627027510&px-bps=15457376&px-bufahead=10&px-hash=5d0991d5c914493ab04e0db8211f0734,LGHH
8,210321,3,https://sports.daum.net/game/80045435/highlight/vod:417589729,https://vsl.play.daum.net/vod/rv8ttjmfble51eldyfmkg7nhg/mp4/mp4/rv8ttjmfble51eldyfmkg7nhg_mp4_1920_1080_4M_T1.mp4?e=1627027513&rs=15345&ri=16195&h=56fda0125a9db6cd25555bcd1b1ed924,LGHH
9,210321,2,https://sports.daum.net/game/80045435/highlight/vod:417588233,https://vsl.play.daum.net/vod/rv9x4mvb0uj7v1czk5vy0en2s/mp4/mp4/rv9x4mvb0uj7v1czk5vy0en2s_mp4_1920_1080_4M_T1.mp4?e=1627027517&rs=14998&ri=16195&h=f7fa7c5ad016f351bbd175b6c090858c,LGHH
10,210321,1,https://sports.daum.net/game/80045435/highlight/vod:417587210,https://vsl.play.daum.net/vod/rv05tv3gnbiwlafqvm02w8clk/mp4/mp4/rv05tv3gnbiwlafqvm02w8clk_mp4_1920_1080_4M_T1.mp4?e=1627027520&rs=15101&ri=16195&h=99e611ed6bc99e54d6977f37699ab78f,LGHH
11,210321,4,https://sports.daum.net/game/80045435/highlight/vod:417590063,https://vsu.play.daum.net/vod/rv9a8b1dhesy8z6pxpv11t7no/mp4/mp4/rv9a8b1dhesy8z6pxpv11t7no_mp4_1920_1080_4M_T1.mp4?px-time=1627027523&px-bps=15289256&px-bufahead=10&px-hash=0841ee6747067383ceeee3cbc23dcb1a,SKNC
12,210321,3,https://sports.daum.net/game/80045435/highlight/vod:417589708,https://vsl.play.daum.net/vod/rv4ocrmn302onry8s6uk752dm/mp4/mp4/rv4ocrmn302onry8s6uk752dm_mp4_1920_1080_4M_T1.mp4?e=1627027526&rs=15181&ri=16195&h=953fa60b84761e690983d5ec48d7b70a,SKNC
13,210321,2,https://sports.daum.net/game/80045435/highlight/vod:417588230,https://vsl.play.daum.net/vod/rvtjq5fs5i57vutynpkjs4c8m/mp4/mp4/rvtjq5fs5i57vutynpkjs4c8m_mp4_1920_1080_4M_T1.mp4?e=1627027530&rs=15150&ri=16195&h=a372efa22a881a11e9c233899c1a7a78,SKNC
14,210321,1,https://sports.daum.net/game/80045435/highlight/vod:417586779,https://vsu.play.daum.net/vod/rvzpp81q7692b979e7q3g54ln/mp4/mp4/rvzpp81q7692b979e7q3g54ln_mp4_1920_1080_4M_T1.mp4?px-time=1627027533&px-bps=15518079&px-bufahead=11&px-hash=a1c7cd6c7a22367a049d783c173c53dd,SKNC
