               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099267,            0.023841,                   0,            0.015184,             0.32624,            0.010886,           0.0016889,             0.05188,            0.018342,                   0,             0.00024,             0.00024,             0.09784
                   1,            0.069508,            0.024757,                   0,             0.11529,             0.43972,             0.10099,            0.021129,            0.038553,             0.01804,                   0,          0.00048998,          0.00048998,             0.09559
                   2,            0.058437,             0.02412,                   0,             0.65629,             0.67711,             0.64606,             0.21729,            0.031867,            0.016752,                   0,          0.00073985,          0.00073985,             0.09334
                   3,            0.051516,            0.022319,                   0,             0.79206,             0.75645,             0.83828,             0.35916,            0.025658,            0.014157,                   0,          0.00098956,          0.00098956,             0.09109
                   4,            0.048434,            0.020284,                   0,             0.63223,             0.82905,             0.75626,             0.26555,            0.037542,            0.010803,                   0,            0.001239,            0.001239,            0.088839
                   5,            0.044596,            0.017804,                   0,             0.95364,             0.87943,             0.96559,              0.5417,             0.02119,           0.0096246,                   0,           0.0014882,           0.0014882,            0.086588
                   6,            0.042264,            0.014991,                   0,             0.91503,             0.92199,             0.94832,              0.3421,            0.027934,           0.0083032,                   0,           0.0017369,           0.0017369,            0.084337
                   7,             0.04344,            0.014095,                   0,             0.77308,             0.85106,             0.88651,             0.36435,            0.033152,           0.0072643,                   0,           0.0019852,           0.0019852,            0.082085
                   8,            0.040614,            0.012712,                   0,             0.69008,             0.90071,             0.86859,             0.43818,            0.029744,           0.0064957,                   0,           0.0022329,           0.0022329,            0.079833
                   9,            0.037757,            0.011408,                   0,               0.971,              0.9497,             0.98835,             0.62802,            0.026972,           0.0060461,                   0,           0.0024801,           0.0024801,             0.07758
                  10,             0.03737,            0.010943,                   0,             0.95795,             0.97163,             0.98868,             0.54651,            0.022345,           0.0059027,                   0,           0.0027265,           0.0027265,            0.075327
                  11,            0.035935,            0.010597,                   0,             0.73047,             0.82979,             0.85427,             0.44632,            0.020629,           0.0058304,                   0,           0.0029722,           0.0029722,            0.073072
                  12,            0.033226,            0.010116,                   0,             0.99291,              0.9929,             0.99477,             0.56344,            0.024793,           0.0055441,                   0,            0.003217,            0.003217,            0.070817
                  13,             0.03483,           0.0098703,                   0,             0.90799,             0.92199,             0.96602,             0.65766,            0.026325,            0.005195,                   0,            0.003461,            0.003461,            0.068561
                  14,            0.034575,           0.0094365,                   0,             0.98581,             0.98575,             0.99362,             0.69453,             0.01872,           0.0050494,                   0,            0.003704,            0.003704,            0.066304
                  15,            0.032001,           0.0093567,                   0,              0.9781,             0.97872,             0.99221,             0.71285,            0.024657,           0.0048923,                   0,           0.0039459,           0.0039459,            0.064046
                  16,            0.031339,           0.0089889,                   0,             0.94361,             0.95035,             0.97498,              0.6486,            0.021516,           0.0048473,                   0,           0.0041867,           0.0041867,            0.061787
                  17,            0.032128,           0.0089808,                   0,             0.97902,             0.99273,             0.99254,             0.64901,            0.019886,           0.0048366,                   0,           0.0044263,           0.0044263,            0.059526
                  18,            0.033009,           0.0089102,                   0,             0.97219,             0.99291,             0.99367,             0.77139,            0.014298,           0.0046665,                   0,           0.0046647,           0.0046647,            0.057265
                  19,            0.029957,           0.0085867,                   0,             0.97878,             0.99291,             0.99281,             0.72156,            0.013896,           0.0044473,                   0,           0.0049018,           0.0049018,            0.055002
                  20,            0.037922,            0.009232,                   0,             0.98585,             0.99291,             0.99459,             0.55618,            0.021696,           0.0048196,                   0,           0.0051374,           0.0051374,            0.052737
                  21,             0.03525,           0.0086476,                   0,             0.99274,             0.99291,             0.99525,             0.74542,             0.01422,           0.0044821,                   0,           0.0053716,           0.0053716,            0.050472
                  22,            0.032865,            0.008657,                   0,             0.99284,             0.99291,             0.99472,             0.70493,            0.017143,           0.0046591,                   0,           0.0056043,           0.0056043,            0.048204
                  23,            0.032193,           0.0086242,                   0,             0.99286,             0.98575,             0.99482,             0.71312,            0.014563,           0.0046701,                   0,           0.0058353,           0.0058353,            0.045935
                  24,            0.031659,           0.0084965,                   0,             0.99289,             0.99291,              0.9948,             0.72875,            0.015907,           0.0044452,                   0,           0.0060647,           0.0060647,            0.043665
                  25,             0.03187,           0.0084043,                   0,             0.98584,             0.99291,             0.99069,             0.72687,            0.015132,           0.0043763,                   0,           0.0062924,           0.0062924,            0.041392
                  26,            0.031403,           0.0079298,                   0,             0.99255,             0.99291,             0.98986,             0.66475,             0.01547,           0.0044849,                   0,           0.0065183,           0.0065183,            0.039118
                  27,            0.032344,           0.0083934,                   0,             0.98572,                   1,              0.9944,             0.77503,            0.013631,           0.0042048,                   0,           0.0067423,           0.0067423,            0.036842
                  28,            0.031746,           0.0080481,                   0,             0.97917,             0.99998,             0.98478,             0.76396,            0.014059,           0.0042021,                   0,           0.0069644,           0.0069644,            0.034564
                  29,            0.030923,           0.0078011,                   0,             0.98591,             0.99286,             0.99509,             0.73916,            0.015264,           0.0045311,                   0,           0.0071845,           0.0071845,            0.032284
                  30,            0.031875,           0.0082727,                   0,             0.98601,             0.99996,             0.99284,             0.64541,            0.017297,           0.0043632,                   0,           0.0074026,           0.0074026,            0.030003
                  31,            0.031362,           0.0082197,                   0,             0.99285,             0.99291,             0.98892,             0.70473,            0.016415,           0.0046569,                   0,           0.0076185,           0.0076185,            0.027719
                  32,            0.030424,           0.0080321,                   0,             0.96575,                   1,             0.99109,             0.73761,            0.014565,           0.0043859,                   0,           0.0078323,           0.0078323,            0.025432
                  33,            0.028751,           0.0081441,                   0,             0.99286,             0.98578,              0.9953,             0.77094,            0.013412,           0.0041307,                   0,           0.0080439,           0.0080439,            0.023144
                  34,            0.028961,           0.0079488,                   0,             0.97899,             0.99291,             0.99378,             0.72495,            0.016181,           0.0044178,                   0,           0.0082532,           0.0082532,            0.020853
                  35,            0.029397,           0.0080141,                   0,               0.979,             0.99291,             0.99444,             0.73628,            0.013585,            0.004444,                   0,           0.0084601,           0.0084601,             0.01856
                  36,             0.02965,           0.0077869,                   0,             0.98567,             0.99291,             0.99477,             0.72751,            0.013696,           0.0045106,                   0,           0.0086646,           0.0086646,            0.016265
                  37,            0.030233,           0.0082037,                   0,             0.97219,             0.99291,             0.99427,             0.73416,             0.01501,           0.0047437,                   0,           0.0088667,           0.0088667,            0.013967
                  38,            0.030013,           0.0083037,                   0,             0.98549,             0.97163,             0.98696,             0.66273,            0.018293,           0.0048893,                   0,           0.0090663,           0.0090663,            0.011666
