               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10446,            0.016325,                   0,            0.011643,             0.24165,           0.0073631,           0.0012935,            0.058388,            0.016335,                   0,             0.00024,             0.00024,             0.09784
                   1,            0.080191,            0.020711,                   0,            0.060151,             0.37162,            0.044679,            0.008696,            0.042246,             0.01976,                   0,          0.00048998,          0.00048998,             0.09559
                   2,            0.068135,             0.02217,                   0,             0.22461,             0.51351,             0.19931,            0.048725,            0.034488,            0.020195,                   0,          0.00073985,          0.00073985,             0.09334
                   3,            0.057144,            0.022081,                   0,             0.75406,              0.7973,             0.81104,             0.35226,            0.028425,            0.017646,                   0,          0.00098956,          0.00098956,             0.09109
                   4,            0.050135,            0.019869,                   0,             0.82947,             0.81081,              0.8614,             0.39336,            0.026063,            0.014502,                   0,            0.001239,            0.001239,            0.088839
                   5,            0.046234,            0.017359,                   0,             0.89009,             0.77027,             0.87096,             0.38348,            0.028348,            0.012103,                   0,           0.0014882,           0.0014882,            0.086588
                   6,            0.045059,            0.015027,                   0,             0.51102,             0.74324,             0.53998,             0.14021,            0.034108,            0.010461,                   0,           0.0017369,           0.0017369,            0.084337
                   7,            0.042727,            0.014205,                   0,              0.4856,             0.81081,             0.52205,             0.21329,            0.037156,            0.009307,                   0,           0.0019852,           0.0019852,            0.082085
                   8,            0.041112,             0.01304,                   0,              0.7752,             0.91216,             0.91088,             0.41351,            0.026533,           0.0089424,                   0,           0.0022329,           0.0022329,            0.079833
                   9,            0.038324,            0.012256,                   0,             0.92247,             0.96468,             0.97977,             0.49218,            0.023955,           0.0084485,                   0,           0.0024801,           0.0024801,             0.07758
                  10,            0.037025,            0.011677,                   0,             0.98658,             0.99317,             0.99461,             0.61881,            0.019966,           0.0080433,                   0,           0.0027265,           0.0027265,            0.075327
                  11,            0.035245,            0.010766,                   0,              0.8963,             0.99324,             0.98522,              0.5071,              0.0235,            0.007797,                   0,           0.0029722,           0.0029722,            0.073072
                  12,            0.034729,            0.010683,                   0,             0.81929,             0.86486,              0.8861,             0.25687,             0.02987,           0.0073825,                   0,            0.003217,            0.003217,            0.070817
                  13,            0.033307,           0.0097383,                   0,             0.97313,             0.98649,             0.99119,             0.64959,            0.022204,           0.0071892,                   0,            0.003461,            0.003461,            0.068561
                  14,            0.033251,           0.0094997,                   0,             0.99998,             0.99324,             0.99503,             0.58922,            0.021703,           0.0068933,                   0,            0.003704,            0.003704,            0.066304
                  15,            0.032645,           0.0094609,                   0,             0.97345,             0.99324,             0.99409,             0.64343,            0.019918,           0.0067726,                   0,           0.0039459,           0.0039459,            0.064046
                  16,            0.030813,           0.0089753,                   0,             0.99999,             0.99324,             0.99505,             0.45573,            0.021651,           0.0065414,                   0,           0.0041867,           0.0041867,            0.061787
                  17,            0.030438,           0.0091341,                   0,             0.99996,             0.99324,             0.99506,             0.61094,            0.018773,           0.0061531,                   0,           0.0044263,           0.0044263,            0.059526
                  18,            0.030386,           0.0087345,                   0,             0.99997,             0.99324,             0.99508,             0.56425,            0.020612,           0.0062837,                   0,           0.0046647,           0.0046647,            0.057265
                  19,            0.029222,           0.0086718,                   0,             0.99997,             0.99324,             0.99509,             0.60569,            0.022275,           0.0066498,                   0,           0.0049018,           0.0049018,            0.055002
                  20,            0.038793,             0.00903,                   0,             0.99998,             0.99324,              0.9951,             0.67108,            0.018426,           0.0067258,                   0,           0.0051374,           0.0051374,            0.052737
                  21,            0.034174,           0.0084376,                   0,             0.97989,             0.99324,             0.99337,              0.6543,            0.020207,           0.0061348,                   0,           0.0053716,           0.0053716,            0.050472
                  22,            0.034635,           0.0087034,                   0,             0.99321,             0.99324,              0.9949,             0.53061,            0.019934,           0.0060774,                   0,           0.0056043,           0.0056043,            0.048204
                  23,            0.034005,           0.0086441,                   0,             0.99329,             0.99994,             0.99525,             0.67916,            0.016261,            0.006398,                   0,           0.0058353,           0.0058353,            0.045935
                  24,            0.030839,           0.0080317,                   0,              0.9999,             0.99324,             0.99531,             0.71359,            0.015586,           0.0065297,                   0,           0.0060647,           0.0060647,            0.043665
                  25,             0.03131,           0.0081185,                   0,             0.99998,                   1,             0.99537,             0.74663,            0.015266,           0.0063087,                   0,           0.0062924,           0.0062924,            0.041392
                  26,            0.030173,            0.007975,                   0,             0.99297,             0.97297,             0.99421,             0.62915,            0.018099,             0.00604,                   0,           0.0065183,           0.0065183,            0.039118
                  27,            0.028741,           0.0077682,                   0,                   1,             0.99997,             0.99543,             0.72755,            0.014251,           0.0060247,                   0,           0.0067423,           0.0067423,            0.036842
                  28,            0.028357,           0.0077362,                   0,                   1,             0.99321,             0.99562,             0.67134,            0.015404,           0.0063313,                   0,           0.0069644,           0.0069644,            0.034564
                  29,            0.028001,            0.007186,                   0,             0.99318,              0.9844,             0.99464,             0.65605,            0.017659,             0.00627,                   0,           0.0071845,           0.0071845,            0.032284
                  30,            0.029472,           0.0075577,                   0,             0.99329,             0.99999,             0.99571,             0.69887,            0.015895,           0.0060051,                   0,           0.0074026,           0.0074026,            0.030003
                  31,            0.028705,           0.0072826,                   0,                   1,             0.99998,             0.99598,              0.7384,            0.014129,           0.0064917,                   0,           0.0076185,           0.0076185,            0.027719
                  32,            0.027667,           0.0075864,                   0,             0.99999,                   1,             0.99565,             0.70837,            0.015225,           0.0058905,                   0,           0.0078323,           0.0078323,            0.025432
                  33,            0.027247,           0.0076286,                   0,                   1,                   1,             0.99615,             0.77188,            0.012435,           0.0054972,                   0,           0.0080439,           0.0080439,            0.023144
                  34,            0.026734,           0.0074771,                   0,                   1,                   1,             0.99595,             0.68564,            0.014339,           0.0057724,                   0,           0.0082532,           0.0082532,            0.020853
                  35,            0.026966,           0.0073497,                   0,                   1,                   1,             0.99591,             0.70815,              0.0146,           0.0057589,                   0,           0.0084601,           0.0084601,             0.01856
                  36,            0.026615,           0.0070285,                   0,                   1,             0.99998,             0.99592,             0.60293,            0.018592,           0.0062939,                   0,           0.0086646,           0.0086646,            0.016265
                  37,            0.024985,           0.0070094,                   0,             0.99997,                   1,             0.99571,             0.77696,            0.013214,           0.0054383,                   0,           0.0088667,           0.0088667,            0.013967
                  38,            0.023797,           0.0071261,                   0,             0.99999,                   1,              0.9963,             0.76424,            0.012738,           0.0053893,                   0,           0.0090663,           0.0090663,            0.011666
                  39,            0.023109,           0.0069417,                   0,             0.99999,                   1,             0.99619,             0.77528,            0.012476,           0.0056306,                   0,           0.0092633,           0.0092633,           0.0093633
                  40,            0.023423,           0.0067184,                   0,             0.99999,             0.99324,             0.99679,             0.72818,            0.013559,           0.0055482,                   0,           0.0092361,           0.0092361,           0.0092361
                  41,             0.02464,           0.0073348,                   0,             0.99316,             0.99324,             0.99672,             0.72694,            0.013371,           0.0053641,                   0,           0.0092361,           0.0092361,           0.0092361
                  42,            0.023506,            0.006748,                   0,             0.99324,             0.99324,              0.9961,             0.71664,            0.015097,           0.0054593,                   0,           0.0091987,           0.0091987,           0.0091987
                  43,            0.023742,           0.0067383,                   0,             0.99998,                   1,             0.99582,             0.75101,            0.012856,           0.0052183,                   0,           0.0091606,           0.0091606,           0.0091606
                  44,            0.022609,           0.0066863,                   0,                   1,                   1,             0.99623,             0.75601,            0.012311,           0.0052603,                   0,           0.0091217,           0.0091217,           0.0091217
