               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10532,            0.016424,                   0,            0.019293,            0.043796,           0.0077045,           0.0013928,            0.065967,              0.0135,                   0,             0.00024,             0.00024,             0.09784
                   1,            0.080268,              0.0207,                   0,            0.041408,             0.44206,            0.033423,           0.0060983,             0.05155,            0.015593,                   0,          0.00048999,          0.00048999,             0.09559
                   2,             0.06704,            0.022505,                   0,             0.24929,             0.53285,              0.2011,             0.05837,            0.040749,             0.01614,                   0,          0.00073994,          0.00073994,             0.09334
                   3,            0.056696,             0.02179,                   0,             0.76805,             0.65693,             0.75577,             0.32503,             0.03494,            0.013931,                   0,           0.0009898,           0.0009898,             0.09109
                   4,             0.05076,             0.01921,                   0,             0.73615,             0.79423,             0.72821,              0.2093,            0.037804,             0.01159,                   0,           0.0012396,           0.0012396,             0.08884
                   5,             0.04823,            0.017011,                   0,             0.58082,             0.70073,             0.65302,             0.21889,            0.034798,            0.010031,                   0,           0.0014892,           0.0014892,            0.086589
                   6,            0.044502,            0.014834,                   0,             0.62273,             0.82482,             0.77957,             0.26195,             0.03467,           0.0087039,                   0,           0.0017386,           0.0017386,            0.084339
                   7,            0.042074,            0.014137,                   0,             0.60768,             0.88321,             0.69023,             0.35573,            0.031742,           0.0077206,                   0,           0.0019879,           0.0019879,            0.082088
                   8,            0.040674,            0.013235,                   0,              0.8819,             0.92666,             0.94252,             0.43185,            0.025912,           0.0072692,                   0,           0.0022369,           0.0022369,            0.079837
                   9,            0.038041,            0.012098,                   0,             0.71321,             0.81752,             0.85113,              0.2696,            0.033445,           0.0067375,                   0,           0.0024856,           0.0024856,            0.077586
                  10,             0.03724,            0.011527,                   0,              0.9189,             0.99243,             0.97365,             0.58433,            0.021641,           0.0064364,                   0,            0.002734,            0.002734,            0.075334
                  11,            0.034831,            0.010875,                   0,             0.96348,              0.9708,             0.97885,             0.69007,             0.02264,           0.0059043,                   0,           0.0029821,           0.0029821,            0.073082
                  12,            0.034382,            0.010415,                   0,             0.72543,             0.86861,             0.80356,             0.23789,             0.03707,           0.0057092,                   0,           0.0032298,           0.0032298,             0.07083
                  13,            0.034554,           0.0099516,                   0,              0.9491,              0.9562,             0.97936,             0.49248,            0.026779,           0.0057466,                   0,           0.0034771,           0.0034771,            0.068577
                  14,            0.032576,           0.0096381,                   0,             0.95804,             0.99993,             0.98777,             0.71108,            0.022996,           0.0052195,                   0,            0.003724,            0.003724,            0.066324
                  15,            0.032755,           0.0094312,                   0,             0.96478,             0.99979,              0.9802,             0.69685,            0.019877,           0.0050239,                   0,           0.0039704,           0.0039704,             0.06407
                  16,            0.030916,           0.0090396,                   0,               0.958,                   1,             0.98695,             0.54844,            0.023189,           0.0049077,                   0,           0.0042162,           0.0042162,            0.061816
                  17,            0.030956,           0.0090943,                   0,             0.95774,              0.9927,             0.98627,             0.50533,            0.025276,           0.0047667,                   0,           0.0044616,           0.0044616,            0.059562
                  18,            0.030719,            0.008661,                   0,             0.92398,             0.97595,             0.97832,             0.61374,            0.022823,           0.0046836,                   0,           0.0047064,           0.0047064,            0.057306
                  19,            0.029166,           0.0085695,                   0,             0.97826,             0.98535,             0.98775,             0.67904,            0.021433,           0.0046687,                   0,           0.0049506,           0.0049506,            0.055051
                  20,            0.037432,           0.0091915,                   0,             0.91755,              0.9781,             0.97125,             0.65707,            0.023513,           0.0048916,                   0,           0.0051942,           0.0051942,            0.052794
                  21,            0.034465,             0.00866,                   0,             0.96465,                   1,             0.98825,             0.74719,            0.017425,           0.0045888,                   0,           0.0054371,           0.0054371,            0.050537
                  22,            0.033398,           0.0087626,                   0,             0.92948,             0.89781,             0.96395,             0.68762,            0.023086,           0.0046933,                   0,           0.0056793,           0.0056793,            0.048279
                  23,            0.032862,           0.0087393,                   0,             0.97841,             0.99246,             0.98977,             0.66706,            0.019415,           0.0045686,                   0,           0.0059208,           0.0059208,            0.046021
                  24,            0.032012,           0.0083328,                   0,             0.96477,             0.99942,             0.97844,             0.59519,            0.021367,           0.0046374,                   0,           0.0061616,           0.0061616,            0.043762
                  25,            0.030871,           0.0085711,                   0,             0.97162,             0.99944,              0.9935,                0.67,            0.019012,           0.0045279,                   0,           0.0064015,           0.0064015,            0.041502
                  26,            0.029382,           0.0075638,                   0,             0.97857,             0.99994,             0.99346,             0.62974,            0.020259,           0.0044647,                   0,           0.0066407,           0.0066407,            0.039241
                  27,            0.030716,            0.007863,                   0,             0.98561,             0.99996,             0.98463,             0.73191,            0.014971,           0.0042054,                   0,            0.006879,            0.006879,            0.036979
                  28,            0.028344,           0.0074374,                   0,             0.97841,             0.99229,             0.98666,             0.71491,            0.017353,           0.0042492,                   0,           0.0071164,           0.0071164,            0.034716
                  29,            0.029866,            0.007363,                   0,             0.97059,                   1,             0.99068,             0.60911,            0.018925,           0.0042518,                   0,           0.0073529,           0.0073529,            0.032453
                  30,            0.027916,           0.0076973,                   0,             0.97163,                   1,             0.98862,             0.70148,            0.017502,           0.0040502,                   0,           0.0075885,           0.0075885,            0.030188
                  31,            0.029139,            0.007431,                   0,             0.97847,                   1,             0.98837,             0.76746,            0.014778,           0.0040481,                   0,           0.0078231,           0.0078231,            0.027923
                  32,            0.028212,           0.0075266,                   0,             0.97163,                   1,             0.99106,             0.72197,             0.01658,            0.003988,                   0,           0.0080567,           0.0080567,            0.025657
                  33,            0.026355,           0.0076126,                   0,             0.97836,              0.9927,             0.99044,             0.73004,            0.015574,           0.0044765,                   0,           0.0082892,           0.0082892,            0.023389
                  34,            0.026352,           0.0075685,                   0,             0.97857,                   1,             0.98956,             0.76838,            0.014512,           0.0041946,                   0,           0.0085207,           0.0085207,            0.021121
                  35,            0.026142,           0.0072126,                   0,             0.98551,             0.99256,             0.98936,             0.74963,            0.017427,           0.0040006,                   0,           0.0087512,           0.0087512,            0.018851
                  36,            0.025967,           0.0069719,                   0,             0.97161,                   1,             0.99213,             0.74102,              0.0155,           0.0041473,                   0,           0.0089805,           0.0089805,             0.01658
                  37,            0.025521,           0.0074498,                   0,             0.95803,                   1,             0.98296,              0.7733,            0.013512,           0.0040986,                   0,           0.0092086,           0.0092086,            0.014309
                  38,            0.024803,           0.0074553,                   0,             0.97844,                   1,             0.98882,               0.755,            0.014316,            0.004009,                   0,           0.0094356,           0.0094356,            0.012036
                  39,            0.024885,           0.0070004,                   0,             0.97836,              0.9927,             0.98955,             0.74076,            0.015339,           0.0040011,                   0,           0.0096613,           0.0096613,           0.0097613
                  40,            0.024799,           0.0070043,                   0,             0.96478,             0.99979,             0.99261,             0.75666,            0.013583,           0.0039477,                   0,           0.0096542,           0.0096542,           0.0096542
                  41,            0.024126,           0.0067902,                   0,             0.97857,             0.99996,             0.99282,             0.73754,            0.018198,           0.0039907,                   0,           0.0096542,           0.0096542,           0.0096542
                  42,               0.023,           0.0068776,                   0,             0.98552,                   1,             0.98831,             0.74495,            0.014189,             0.00396,                   0,           0.0096369,           0.0096369,           0.0096369
