               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10306,            0.016444,                   0,            0.017934,             0.11034,           0.0080299,           0.0013205,            0.061011,            0.015927,                   0,             0.00024,             0.00024,             0.09784
                   1,            0.079242,            0.020405,                   0,            0.049517,             0.33103,            0.040914,           0.0072858,            0.046674,            0.018636,                   0,             0.00049,             0.00049,             0.09559
                   2,            0.067851,            0.022262,                   0,              0.2195,              0.5198,              0.1868,             0.04785,            0.037661,            0.019387,                   0,          0.00073998,          0.00073998,             0.09334
                   3,            0.057173,            0.021759,                   0,             0.76972,             0.87586,             0.86484,             0.40131,            0.030599,             0.01721,                   0,          0.00098995,          0.00098995,             0.09109
                   4,            0.050181,            0.019718,                   0,             0.77812,             0.84828,               0.862,             0.42677,            0.035843,            0.013586,                   0,           0.0012399,           0.0012399,             0.08884
                   5,            0.047147,            0.017568,                   0,             0.93899,             0.86897,             0.94735,             0.51486,            0.024214,            0.012353,                   0,           0.0014898,           0.0014898,             0.08659
                   6,            0.043912,            0.014919,                   0,             0.68698,              0.9233,             0.79518,             0.41234,            0.030701,            0.010052,                   0,           0.0017397,           0.0017397,             0.08434
                   7,            0.042371,            0.014182,                   0,             0.63985,             0.88221,             0.74349,             0.33252,            0.026897,           0.0093533,                   0,           0.0019895,           0.0019895,            0.082089
                   8,            0.040098,            0.013006,                   0,             0.95234,             0.98621,             0.98706,              0.6193,            0.020411,           0.0085763,                   0,           0.0022392,           0.0022392,            0.079839
                   9,            0.038123,            0.012331,                   0,             0.99286,              0.9931,              0.9946,              0.6131,            0.021895,            0.008058,                   0,           0.0024889,           0.0024889,            0.077589
                  10,            0.037082,            0.011458,                   0,             0.88725,             0.92414,             0.96298,              0.5731,            0.022402,           0.0074708,                   0,           0.0027385,           0.0027385,            0.075338
                  11,            0.035418,            0.011025,                   0,             0.99304,              0.9931,             0.99447,             0.64067,            0.018783,           0.0072011,                   0,            0.002988,            0.002988,            0.073088
                  12,            0.034707,            0.010645,                   0,             0.99993,              0.9931,             0.99502,              0.6805,            0.021502,           0.0068431,                   0,           0.0032374,           0.0032374,            0.070837
                  13,            0.035401,            0.010099,                   0,              0.9927,              0.9931,             0.99482,             0.60825,            0.020677,           0.0065895,                   0,           0.0034868,           0.0034868,            0.068587
                  14,            0.032423,           0.0096011,                   0,             0.99995,              0.9931,             0.99503,             0.68171,            0.019243,           0.0066589,                   0,            0.003736,            0.003736,            0.066336
                  15,            0.033295,            0.009625,                   0,             0.99315,             0.99999,             0.99504,              0.7242,            0.017461,           0.0063906,                   0,           0.0039851,           0.0039851,            0.064085
                  16,            0.030912,           0.0088685,                   0,             0.99993,              0.9931,             0.99505,             0.54356,            0.024555,           0.0060648,                   0,           0.0042341,           0.0042341,            0.061834
                  17,            0.029814,            0.009093,                   0,                   1,             0.99302,             0.99507,             0.65423,            0.017683,           0.0060272,                   0,           0.0044829,           0.0044829,            0.059583
                  18,            0.029901,           0.0084933,                   0,             0.99997,              0.9931,             0.99509,             0.73898,            0.017385,           0.0056144,                   0,           0.0047316,           0.0047316,            0.057332
                  19,            0.028658,           0.0084114,                   0,             0.99995,              0.9931,              0.9951,             0.69967,            0.017636,           0.0058813,                   0,           0.0049801,           0.0049801,             0.05508
                  20,            0.037332,           0.0087268,                   0,             0.99999,              0.9931,             0.99512,             0.56518,            0.024591,           0.0059761,                   0,           0.0052285,           0.0052285,            0.052829
                  21,             0.03595,           0.0089017,                   0,              0.9931,             0.99303,             0.99507,             0.47423,            0.022395,            0.005956,                   0,           0.0054767,           0.0054767,            0.050577
                  22,            0.033375,           0.0088057,                   0,                   1,             0.99305,             0.99515,             0.68552,            0.017491,            0.005871,                   0,           0.0057248,           0.0057248,            0.048325
                  23,            0.034086,           0.0086747,                   0,             0.99296,              0.9931,             0.99502,             0.63526,            0.018577,           0.0056564,                   0,           0.0059726,           0.0059726,            0.046073
                  24,            0.030931,           0.0079007,                   0,             0.99999,              0.9931,             0.99523,             0.67895,            0.016586,           0.0055615,                   0,           0.0062203,           0.0062203,             0.04382
                  25,            0.031018,           0.0080345,                   0,             0.99309,              0.9931,             0.99517,             0.70177,             0.01859,           0.0055304,                   0,           0.0064678,           0.0064678,            0.041568
