               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10618,            0.027732,                   0,            0.010341,             0.19259,           0.0061792,          0.00091005,             0.05504,            0.022597,                   0,             0.00017,             0.00017,             0.09847
                   1,            0.077968,            0.029407,                   0,            0.052966,             0.34815,            0.043789,            0.007508,            0.040984,            0.024348,                   0,          0.00034998,          0.00034998,             0.09685
                   2,            0.065631,            0.030846,                   0,             0.39563,             0.45185,              0.3008,            0.076997,            0.032034,            0.024507,                   0,           0.0005299,           0.0005299,             0.09523
                   3,            0.057355,             0.02996,                   0,             0.59091,             0.65185,             0.61675,             0.20475,            0.029522,            0.022066,                   0,          0.00070968,          0.00070968,             0.09361
                   4,             0.05178,            0.027028,                   0,             0.78876,             0.74679,             0.80847,             0.34405,            0.026649,            0.018334,                   0,           0.0008893,           0.0008893,            0.091989
                   5,            0.051538,            0.025062,                   0,             0.84915,             0.79222,             0.83213,             0.37776,             0.02756,            0.015745,                   0,           0.0010687,           0.0010687,            0.090369
                   6,            0.048318,            0.022963,                   0,             0.87862,             0.85793,             0.91891,             0.42239,            0.021116,            0.014039,                   0,           0.0012478,           0.0012478,            0.088748
                   7,            0.046429,            0.020438,                   0,             0.60541,             0.63704,             0.69135,             0.29824,            0.026018,            0.015016,                   0,           0.0014265,           0.0014265,            0.087127
                   8,            0.043195,            0.018464,                   0,             0.96946,             0.95556,             0.97818,             0.51543,            0.020924,            0.011409,                   0,           0.0016049,           0.0016049,            0.085505
                   9,            0.042487,            0.016758,                   0,             0.99257,             0.99259,             0.99435,             0.63007,            0.020901,           0.0095168,                   0,           0.0017829,           0.0017829,            0.083883
                  10,            0.042306,            0.015568,                   0,             0.99997,                   1,             0.99502,              0.6634,            0.017577,           0.0089823,                   0,           0.0019603,           0.0019603,             0.08226
                  11,            0.040132,            0.015247,                   0,             0.99998,                   1,             0.99502,             0.71713,            0.015641,           0.0083227,                   0,           0.0021372,           0.0021372,            0.080637
                  12,            0.038752,            0.014287,                   0,                   1,             0.99996,             0.99502,             0.66818,            0.017989,           0.0079557,                   0,           0.0023135,           0.0023135,            0.079013
                  13,            0.036234,            0.013878,                   0,             0.99998,                   1,             0.99503,             0.57257,             0.01979,           0.0077048,                   0,           0.0024891,           0.0024891,            0.077389
                  14,            0.036898,            0.013369,                   0,             0.99999,                   1,             0.99504,             0.63053,            0.017097,           0.0075081,                   0,           0.0026641,           0.0026641,            0.075764
                  15,             0.03453,            0.012843,                   0,             0.97826,             0.99988,             0.99148,              0.6621,            0.016928,           0.0071371,                   0,           0.0028383,           0.0028383,            0.074138
                  16,            0.035113,             0.01304,                   0,              0.9854,             0.99995,             0.99491,             0.68468,            0.016501,           0.0085051,                   0,           0.0030117,           0.0030117,            0.072512
                  17,            0.033812,            0.012523,                   0,             0.86538,             0.99997,             0.96761,             0.54871,            0.024215,           0.0073826,                   0,           0.0031842,           0.0031842,            0.070884
                  18,            0.033511,            0.011922,                   0,                   1,                   1,             0.99509,              0.6235,            0.018427,           0.0069852,                   0,           0.0033558,           0.0033558,            0.069256
                  19,            0.032521,            0.011508,                   0,             0.99999,                   1,             0.99509,             0.71984,            0.013942,           0.0066081,                   0,           0.0035265,           0.0035265,            0.067627
                  20,            0.033173,            0.011902,                   0,             0.99998,                   1,             0.99511,             0.71945,            0.013887,           0.0065261,                   0,           0.0036962,           0.0036962,            0.065996
                  21,            0.031089,            0.011875,                   0,             0.99998,                   1,             0.99516,             0.74373,            0.015351,           0.0063462,                   0,           0.0038648,           0.0038648,            0.064365
                  22,            0.029773,            0.011204,                   0,             0.99998,                   1,             0.99518,             0.69143,            0.016261,            0.006367,                   0,           0.0040323,           0.0040323,            0.062732
                  23,            0.031681,             0.01153,                   0,             0.99999,                   1,             0.99519,             0.68583,            0.013827,           0.0062915,                   0,           0.0041987,           0.0041987,            0.061099
                  24,            0.030458,            0.011221,                   0,             0.99998,                   1,             0.99529,             0.73252,            0.014637,           0.0064855,                   0,           0.0043639,           0.0043639,            0.059464
                  25,            0.029217,            0.010796,                   0,             0.99998,                   1,             0.99531,             0.75236,            0.011874,           0.0060485,                   0,           0.0045278,           0.0045278,            0.057828
                  26,            0.029284,            0.011275,                   0,             0.99999,                   1,             0.99546,             0.75157,            0.016068,           0.0059956,                   0,           0.0046904,           0.0046904,             0.05619
                  27,            0.032637,            0.010856,                   0,             0.99997,                   1,             0.99558,             0.66559,            0.017538,           0.0069065,                   0,           0.0048517,           0.0048517,            0.054552
                  28,            0.036355,            0.011429,                   0,             0.99999,                   1,              0.9954,             0.65115,            0.017813,           0.0062799,                   0,           0.0050117,           0.0050117,            0.052912
                  29,            0.033676,            0.010577,                   0,                   1,             0.99998,             0.99535,             0.73367,            0.017488,           0.0061865,                   0,           0.0051701,           0.0051701,             0.05127
                  30,             0.03312,            0.010776,                   0,              0.9781,             0.99253,             0.99394,             0.65694,            0.018185,           0.0064497,                   0,           0.0053272,           0.0053272,            0.049627
                  31,            0.032694,            0.010998,                   0,             0.99265,             0.99998,             0.99539,             0.73625,             0.01398,            0.006165,                   0,           0.0054827,           0.0054827,            0.047983
                  32,            0.033025,            0.011289,                   0,                   1,             0.99999,             0.99545,             0.73054,            0.014436,           0.0058356,                   0,           0.0056366,           0.0056366,            0.046337
                  33,            0.030571,            0.010619,                   0,             0.99998,                   1,             0.99557,             0.76781,            0.013111,           0.0058218,                   0,           0.0057889,           0.0057889,            0.044689
                  34,            0.031204,             0.01068,                   0,                   1,                   1,             0.99554,             0.73012,            0.013174,           0.0057936,                   0,           0.0059396,           0.0059396,             0.04304
                  35,            0.031005,             0.01037,                   0,             0.99999,                   1,              0.9957,             0.74964,             0.01434,           0.0057387,                   0,           0.0060886,           0.0060886,            0.041389
                  36,            0.031127,           0.0098301,                   0,                   1,                   1,             0.99584,             0.76113,            0.014531,           0.0057543,                   0,           0.0062359,           0.0062359,            0.039736
                  37,            0.031874,           0.0097439,                   0,             0.99999,                   1,             0.99569,              0.6697,            0.016044,             0.00614,                   0,           0.0063814,           0.0063814,            0.038081
                  38,            0.031409,            0.010595,                   0,             0.99998,                   1,             0.99582,             0.76866,             0.01359,           0.0057661,                   0,           0.0065251,           0.0065251,            0.036425
                  39,            0.029737,           0.0098264,                   0,                   1,                   1,             0.99595,             0.71856,            0.013012,           0.0058944,                   0,            0.006667,            0.006667,            0.034767
                  40,            0.029143,            0.010125,                   0,                   1,                   1,             0.99588,             0.77654,             0.01224,           0.0057146,                   0,            0.006807,            0.006807,            0.033107
                  41,            0.027984,           0.0099948,                   0,                   1,                   1,             0.99616,             0.75318,            0.012541,           0.0059949,                   0,            0.006945,            0.006945,            0.031445
                  42,            0.030615,            0.010002,                   0,                   1,                   1,             0.99653,             0.75917,            0.014227,           0.0058646,                   0,           0.0070812,           0.0070812,            0.029781
                  43,            0.028044,            0.010263,                   0,             0.99999,                   1,             0.99592,             0.76508,            0.012092,              0.0061,                   0,           0.0072153,           0.0072153,            0.028115
                  44,            0.027345,            0.010069,                   0,             0.99999,                   1,             0.99602,             0.77715,            0.011512,            0.005674,                   0,           0.0073474,           0.0073474,            0.026447
                  45,            0.027274,            0.010163,                   0,                   1,                   1,             0.99631,             0.75109,            0.012648,           0.0056408,                   0,           0.0074774,           0.0074774,            0.024777
                  46,            0.028492,           0.0097275,                   0,             0.99999,                   1,             0.99565,             0.76388,            0.011196,           0.0055766,                   0,           0.0076054,           0.0076054,            0.023105
