               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098641,            0.024856,                   0,            0.016341,            0.071429,           0.0065439,           0.0011389,            0.064696,            0.022971,                   0,             0.00032,             0.00032,             0.09712
                   1,            0.071496,             0.02622,                   0,              0.5533,                0.75,             0.54609,             0.14028,            0.048602,            0.021204,                   0,          0.00064997,          0.00064997,             0.09415
                   2,            0.058591,            0.022065,                   0,             0.51898,             0.87245,             0.62218,             0.21382,            0.048121,            0.015682,                   0,          0.00097981,          0.00097981,             0.09118
                   3,            0.053613,            0.018125,                   0,             0.82303,             0.83049,             0.82335,             0.29535,            0.039914,            0.012724,                   0,           0.0013094,           0.0013094,            0.088209
                   4,            0.050861,            0.015333,                   0,             0.86352,             0.88265,              0.8859,             0.35153,            0.042788,            0.010953,                   0,           0.0016387,           0.0016387,            0.085239
                   5,            0.048117,              0.0139,                   0,             0.86487,             0.82653,             0.91504,             0.38771,            0.036916,           0.0098071,                   0,           0.0019676,           0.0019676,            0.082268
                   6,            0.045931,            0.012706,                   0,             0.89156,             0.92283,             0.94902,              0.4557,            0.039486,           0.0088854,                   0,           0.0022959,           0.0022959,            0.079296
                   7,            0.043441,            0.011785,                   0,              0.9023,             0.94388,             0.95373,             0.47204,            0.040244,           0.0086745,                   0,           0.0026236,           0.0026236,            0.076324
                   8,             0.04307,            0.011118,                   0,             0.95916,             0.95868,             0.97963,             0.50596,            0.033066,           0.0080379,                   0,           0.0029507,           0.0029507,            0.073351
                   9,            0.040266,             0.01087,                   0,             0.88455,             0.90306,              0.8702,             0.28073,            0.042418,           0.0085787,                   0,           0.0032769,           0.0032769,            0.070377
                  10,            0.040336,            0.010234,                   0,             0.85916,             0.90306,             0.85182,             0.31768,            0.038556,           0.0083056,                   0,           0.0036022,           0.0036022,            0.067402
                  11,            0.039525,             0.01043,                   0,             0.97472,              0.9898,             0.98631,             0.52702,            0.030099,           0.0074093,                   0,           0.0039265,           0.0039265,            0.064426
                  12,            0.036647,            0.009638,                   0,             0.95544,             0.98466,             0.98309,             0.55824,            0.028508,           0.0073577,                   0,           0.0042497,           0.0042497,             0.06145
                  13,            0.036778,           0.0096325,                   0,             0.97512,             0.99964,             0.99001,             0.55285,             0.02811,           0.0070223,                   0,           0.0045717,           0.0045717,            0.058472
                  14,            0.036675,           0.0093982,                   0,             0.96935,             0.97449,             0.98295,              0.5438,             0.03002,           0.0070238,                   0,           0.0048924,           0.0048924,            0.055492
                  15,            0.043788,           0.0097964,                   0,             0.95047,             0.97959,             0.97074,             0.42998,            0.034508,           0.0072371,                   0,           0.0052118,           0.0052118,            0.052512
                  16,            0.042046,           0.0098498,                   0,             0.92305,             0.91796,             0.94039,             0.33587,            0.041407,           0.0067526,                   0,           0.0055296,           0.0055296,             0.04953
                  17,             0.04055,           0.0096962,                   0,             0.97483,              0.9898,             0.99319,             0.57684,            0.030854,           0.0069227,                   0,           0.0058459,           0.0058459,            0.046546
                  18,            0.040174,           0.0093117,                   0,             0.96037,              0.9898,             0.98033,             0.53553,            0.030484,           0.0069101,                   0,           0.0061606,           0.0061606,            0.043561
                  19,            0.037471,           0.0090325,                   0,             0.97015,             0.99487,             0.98876,             0.53326,            0.028809,           0.0067119,                   0,           0.0064735,           0.0064735,            0.040573
                  20,            0.036632,           0.0085739,                   0,             0.93033,             0.95408,             0.92698,             0.39304,            0.036113,           0.0067295,                   0,           0.0067845,           0.0067845,            0.037585
                  21,            0.036666,           0.0089044,                   0,             0.94059,             0.96927,             0.94771,             0.43607,            0.032993,           0.0068998,                   0,           0.0070936,           0.0070936,            0.034594
                  22,            0.035413,           0.0086839,                   0,             0.86626,             0.89286,             0.90442,             0.32784,            0.039562,           0.0070863,                   0,           0.0074008,           0.0074008,            0.031601
                  23,            0.036411,           0.0090077,                   0,             0.95999,             0.97959,              0.9713,             0.56583,            0.026133,           0.0067519,                   0,           0.0077057,           0.0077057,            0.028606
                  24,            0.034444,           0.0090814,                   0,             0.95499,             0.97449,             0.97241,             0.53805,            0.028219,           0.0067762,                   0,           0.0080085,           0.0080085,            0.025609
                  25,            0.033474,           0.0087673,                   0,             0.97977,              0.9898,             0.98451,             0.55482,             0.02702,           0.0065421,                   0,           0.0083091,           0.0083091,            0.022609
                  26,            0.032979,           0.0084874,                   0,             0.96551,                   1,             0.98802,             0.54148,            0.026465,           0.0063952,                   0,           0.0086072,           0.0086072,            0.019607
                  27,            0.033285,           0.0084025,                   0,               0.965,             0.98468,             0.98515,             0.54969,            0.029554,           0.0067807,                   0,           0.0089029,           0.0089029,            0.016603
                  28,             0.03285,           0.0086059,                   0,             0.97029,                   1,             0.97916,             0.56761,            0.026819,           0.0062831,                   0,           0.0091961,           0.0091961,            0.013596
                  29,            0.030913,            0.008628,                   0,             0.97487,              0.9898,             0.99044,              0.5836,            0.027609,           0.0066119,                   0,           0.0094866,           0.0094866,            0.010587
                  30,            0.030727,           0.0085081,                   0,              0.9637,             0.94898,              0.9586,             0.46599,             0.03403,           0.0069053,                   0,            0.009564,            0.009564,            0.009564
                  31,            0.030595,           0.0082317,                   0,              0.9599,             0.97959,             0.97373,             0.56806,            0.027998,           0.0064236,                   0,            0.009564,            0.009564,            0.009564
                  32,            0.030879,           0.0083389,                   0,             0.96996,              0.9898,             0.97892,             0.54576,            0.028113,           0.0063714,                   0,           0.0095351,           0.0095351,           0.0095351
                  33,            0.029562,           0.0080367,                   0,             0.95475,             0.96939,              0.9681,             0.56893,            0.027048,           0.0063443,                   0,           0.0095052,           0.0095052,           0.0095052
                  34,            0.028999,           0.0081433,                   0,             0.94991,             0.96939,             0.94764,             0.45299,            0.033235,           0.0065001,                   0,           0.0094745,           0.0094745,           0.0094745
                  35,            0.029418,           0.0082605,                   0,             0.97969,             0.98469,             0.99122,             0.55146,             0.02763,           0.0065127,                   0,            0.009443,            0.009443,            0.009443
                  36,            0.028845,           0.0082216,                   0,             0.94118,             0.97957,             0.95153,             0.47802,            0.031701,           0.0066127,                   0,           0.0094106,           0.0094106,           0.0094106
                  37,            0.027945,           0.0083987,                   0,             0.95024,             0.97449,             0.95953,             0.50603,            0.030572,            0.006325,                   0,           0.0093773,           0.0093773,           0.0093773
                  38,            0.026609,           0.0077043,                   0,             0.96982,             0.98469,             0.97784,             0.57853,            0.024943,           0.0061667,                   0,           0.0093432,           0.0093432,           0.0093432
                  39,            0.027336,           0.0077402,                   0,              0.9949,             0.99488,             0.99551,              0.5796,            0.025801,           0.0058881,                   0,           0.0093083,           0.0093083,           0.0093083
                  40,             0.02678,            0.007844,                   0,             0.95998,             0.97959,             0.97515,             0.55457,            0.025652,           0.0063701,                   0,           0.0092726,           0.0092726,           0.0092726
                  41,            0.027174,           0.0078668,                   0,              0.9648,             0.97959,             0.98584,             0.50275,            0.030619,           0.0066311,                   0,           0.0092361,           0.0092361,           0.0092361
                  42,            0.027461,           0.0078173,                   0,             0.93747,             0.91837,             0.92489,             0.44951,            0.034272,           0.0066851,                   0,           0.0091987,           0.0091987,           0.0091987
                  43,             0.02599,           0.0075143,                   0,             0.95848,             0.95408,             0.97247,             0.53806,            0.029054,           0.0068401,                   0,           0.0091606,           0.0091606,           0.0091606
                  44,            0.026546,           0.0077074,                   0,             0.95925,             0.96429,             0.95925,              0.5402,            0.029744,            0.006374,                   0,           0.0091217,           0.0091217,           0.0091217
                  45,             0.02554,            0.007666,                   0,              0.9799,             0.99489,              0.9896,             0.55116,            0.026616,           0.0060982,                   0,           0.0090821,           0.0090821,           0.0090821
