               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10339,            0.027167,                   0,            0.021063,            0.034314,           0.0061076,          0.00098287,            0.071034,            0.025164,                   0,             0.00025,             0.00025,             0.09775
                   1,             0.07884,            0.031057,                   0,             0.39061,             0.51961,             0.32666,            0.072014,            0.054674,            0.026164,                   0,           0.0005099,           0.0005099,             0.09541
                   2,            0.063136,            0.027993,                   0,              0.6629,              0.7549,             0.63489,             0.15647,            0.049661,            0.020044,                   0,          0.00076939,          0.00076939,            0.093069
                   3,            0.057325,            0.022707,                   0,             0.84927,             0.85294,             0.89074,             0.28334,            0.044317,            0.015791,                   0,           0.0010282,           0.0010282,            0.090728
                   4,            0.055523,            0.019434,                   0,             0.68043,             0.88718,             0.80241,             0.27141,            0.040164,            0.013625,                   0,           0.0012859,           0.0012859,            0.088386
                   5,            0.052712,            0.017349,                   0,             0.97029,             0.96064,             0.98596,             0.44478,             0.03579,            0.012386,                   0,           0.0015424,           0.0015424,            0.086042
                   6,            0.048949,            0.015721,                   0,             0.90728,             0.91138,             0.95364,             0.36352,            0.037454,              0.0111,                   0,           0.0017972,           0.0017972,            0.083697
                   7,            0.047533,             0.01466,                   0,             0.89262,             0.89706,             0.87353,             0.29439,            0.040833,            0.010619,                   0,           0.0020501,           0.0020501,             0.08135
                   8,            0.045447,            0.013816,                   0,             0.87554,             0.93104,             0.91663,             0.39323,             0.03472,            0.010051,                   0,           0.0023007,           0.0023007,            0.079001
                   9,            0.042572,            0.013429,                   0,               0.971,              0.9902,             0.99132,              0.4675,            0.032217,           0.0098317,                   0,           0.0025489,           0.0025489,            0.076649
                  10,            0.043187,            0.012575,                   0,             0.99506,              0.9951,             0.99498,             0.49198,            0.032075,           0.0092299,                   0,           0.0027942,           0.0027942,            0.074294
                  11,              0.0408,            0.012852,                   0,             0.99973,                   1,             0.99504,             0.50374,            0.030571,           0.0090594,                   0,           0.0030365,           0.0030365,            0.071936
                  12,            0.039269,            0.012226,                   0,             0.99508,              0.9951,             0.99413,             0.48386,             0.03265,            0.008936,                   0,           0.0032753,           0.0032753,            0.069575
                  13,            0.038778,            0.011425,                   0,              0.9902,              0.9902,             0.99458,             0.45168,             0.03382,           0.0085832,                   0,           0.0035106,           0.0035106,            0.067211
                  14,            0.039601,            0.011989,                   0,             0.99016,              0.9902,             0.99278,             0.53749,            0.030181,           0.0085525,                   0,           0.0037419,           0.0037419,            0.064842
                  15,            0.036741,            0.011395,                   0,             0.99512,                   1,             0.99514,             0.54921,            0.027604,           0.0084324,                   0,           0.0039691,           0.0039691,            0.062469
                  16,             0.03651,            0.011719,                   0,             0.97056,             0.97059,             0.97584,             0.37574,            0.035527,            0.008654,                   0,           0.0041918,           0.0041918,            0.060092
                  17,            0.036344,            0.010854,                   0,             0.97546,             0.97549,             0.97787,             0.36377,            0.036151,            0.008648,                   0,           0.0044099,           0.0044099,             0.05771
                  18,            0.036513,             0.01132,                   0,             0.90587,             0.66176,             0.81126,             0.29867,            0.038801,            0.013546,                   0,            0.004623,            0.004623,            0.055323
                  19,            0.043351,            0.011774,                   0,              0.9902,              0.9902,              0.9868,              0.4846,            0.032703,           0.0085818,                   0,            0.004831,            0.004831,            0.052931
                  20,            0.042045,            0.011039,                   0,             0.99509,              0.9951,             0.99495,             0.53873,            0.029378,           0.0082917,                   0,           0.0050337,           0.0050337,            0.050534
                  21,            0.037721,            0.011383,                   0,              0.9855,                   1,             0.99449,             0.54866,             0.02882,           0.0084192,                   0,           0.0052307,           0.0052307,            0.048131
                  22,            0.037889,            0.010925,                   0,                   1,             0.99999,             0.99525,             0.53632,            0.029541,           0.0081159,                   0,            0.005422,            0.005422,            0.045722
                  23,            0.038421,            0.010918,                   0,             0.99019,              0.9902,             0.99268,             0.56491,            0.029188,           0.0080365,                   0,           0.0056073,           0.0056073,            0.043307
                  24,            0.036746,            0.010795,                   0,              0.9902,             0.99013,             0.99375,             0.51279,            0.031792,           0.0081096,                   0,           0.0057864,           0.0057864,            0.040886
                  25,            0.037386,            0.010342,                   0,             0.99018,              0.9902,             0.99131,             0.54271,            0.028713,           0.0080277,                   0,           0.0059592,           0.0059592,            0.038459
                  26,            0.035826,            0.010374,                   0,             0.98056,              0.9902,             0.99119,             0.45708,            0.032669,            0.008126,                   0,           0.0061255,           0.0061255,            0.036025
                  27,             0.03649,            0.010336,                   0,                   1,             0.99999,             0.99553,             0.55339,            0.028081,           0.0078292,                   0,           0.0062851,           0.0062851,            0.033585
                  28,            0.034006,            0.010287,                   0,                   1,             0.99999,             0.99552,             0.57646,            0.028904,           0.0078403,                   0,           0.0064379,           0.0064379,            0.031138
                  29,            0.032974,            0.010347,                   0,             0.99999,                   1,             0.99556,             0.54921,            0.026507,           0.0082988,                   0,           0.0065838,           0.0065838,            0.028684
                  30,              0.0331,            0.010425,                   0,             0.98529,             0.98529,              0.9928,             0.54252,            0.027867,           0.0080359,                   0,           0.0067227,           0.0067227,            0.026223
                  31,            0.032408,            0.010078,                   0,              0.9901,             0.98039,              0.9863,             0.51777,            0.029379,           0.0081475,                   0,           0.0068544,           0.0068544,            0.023754
                  32,            0.032113,            0.010001,                   0,             0.98529,             0.98521,             0.98405,             0.55868,            0.027825,           0.0082053,                   0,           0.0069788,           0.0069788,            0.021279
                  33,            0.031142,           0.0099395,                   0,             0.99999,                   1,             0.99596,             0.61624,            0.025554,           0.0078512,                   0,           0.0070959,           0.0070959,            0.018796
                  34,            0.032152,            0.010183,                   0,             0.99999,                   1,             0.99586,             0.55866,            0.027289,           0.0081885,                   0,           0.0072057,           0.0072057,            0.016306
                  35,            0.028664,            0.010008,                   0,             0.99999,                   1,             0.99647,             0.54742,            0.027936,           0.0078578,                   0,           0.0073079,           0.0073079,            0.013808
                  36,            0.029609,           0.0098991,                   0,             0.99027,                   1,             0.99651,             0.55863,            0.028028,           0.0078375,                   0,           0.0074027,           0.0074027,            0.011303
                  37,            0.029227,            0.010172,                   0,                   1,                   1,             0.99637,             0.59859,            0.025926,           0.0077238,                   0,           0.0074899,           0.0074899,           0.0087899
                  38,            0.029369,           0.0092287,                   0,             0.99507,             0.99019,             0.99488,             0.56369,            0.027617,           0.0080839,                   0,           0.0074725,           0.0074725,           0.0074725
                  39,            0.027795,            0.009425,                   0,             0.99507,             0.99019,             0.99434,             0.55837,            0.027578,           0.0084358,                   0,           0.0074725,           0.0074725,           0.0074725
                  40,            0.028518,           0.0096089,                   0,              0.9902,              0.9951,             0.99514,             0.58895,            0.026664,           0.0079513,                   0,            0.007355,            0.007355,            0.007355
                  41,            0.027626,           0.0095589,                   0,             0.98544,             0.99509,             0.99472,             0.55236,            0.026263,           0.0081344,                   0,           0.0072361,           0.0072361,           0.0072361
                  42,            0.027178,           0.0094838,                   0,             0.99509,              0.9951,             0.99333,             0.58417,            0.025949,            0.007747,                   0,            0.007116,            0.007116,            0.007116
                  43,            0.026891,           0.0095106,                   0,             0.99024,             0.99507,             0.99277,              0.5415,            0.027379,           0.0080186,                   0,           0.0069948,           0.0069948,           0.0069948
                  44,            0.026115,           0.0093417,                   0,             0.99999,                   1,              0.9964,             0.60174,            0.025495,           0.0074471,                   0,           0.0068726,           0.0068726,           0.0068726
                  45,            0.025272,           0.0091796,                   0,                   1,                   1,             0.99714,              0.5994,            0.024605,           0.0076831,                   0,           0.0067495,           0.0067495,           0.0067495
                  46,            0.026696,            0.009386,                   0,             0.99508,              0.9951,             0.99244,             0.60485,             0.02548,           0.0075754,                   0,           0.0066257,           0.0066257,           0.0066257
                  47,            0.025392,           0.0090556,                   0,             0.99507,             0.98982,              0.9965,             0.56792,            0.027029,           0.0080161,                   0,           0.0065013,           0.0065013,           0.0065013
                  48,            0.024831,           0.0093129,                   0,                   1,                   1,             0.99688,             0.60078,            0.025413,           0.0075744,                   0,           0.0063764,           0.0063764,           0.0063764
                  49,            0.025166,           0.0091607,                   0,             0.99509,              0.9951,             0.99456,             0.59401,            0.025881,           0.0077646,                   0,           0.0062512,           0.0062512,           0.0062512
                  50,            0.023648,            0.008801,                   0,             0.99509,              0.9951,             0.99492,             0.58891,            0.025332,            0.007566,                   0,           0.0061256,           0.0061256,           0.0061256
                  51,             0.02376,           0.0085239,                   0,              0.9951,             0.99508,             0.99473,             0.60604,            0.025194,           0.0076644,                   0,               0.006,               0.006,               0.006
                  52,            0.022766,           0.0084078,                   0,             0.99509,              0.9951,             0.99387,             0.61291,            0.025364,           0.0076651,                   0,           0.0058744,           0.0058744,           0.0058744
                  53,             0.02267,           0.0084913,                   0,             0.98544,             0.99509,             0.99484,             0.60593,            0.024765,           0.0077236,                   0,           0.0057488,           0.0057488,           0.0057488
                  54,            0.024011,           0.0086608,                   0,             0.99999,                   1,             0.99569,              0.5966,            0.025509,           0.0076601,                   0,           0.0056236,           0.0056236,           0.0056236
                  55,            0.022709,           0.0083257,                   0,             0.97537,             0.97055,             0.96618,             0.52632,            0.030148,           0.0084901,                   0,           0.0054987,           0.0054987,           0.0054987
                  56,            0.022575,           0.0089705,                   0,             0.99019,              0.9902,             0.98769,             0.56718,            0.027128,           0.0078921,                   0,           0.0053743,           0.0053743,           0.0053743
                  57,            0.021462,           0.0083971,                   0,             0.99509,              0.9951,              0.9925,             0.61107,            0.026049,           0.0077986,                   0,           0.0052505,           0.0052505,           0.0052505
                  58,            0.021702,           0.0081528,                   0,             0.99019,              0.9902,             0.98953,             0.61433,            0.025336,           0.0076101,                   0,           0.0051274,           0.0051274,           0.0051274
                  59,            0.021342,           0.0084076,                   0,              0.9951,              0.9951,             0.99579,             0.62028,            0.024784,            0.007593,                   0,           0.0050052,           0.0050052,           0.0050052
                  60,            0.021542,           0.0082485,                   0,             0.99019,              0.9902,             0.99349,             0.61934,            0.024955,           0.0076708,                   0,            0.004884,            0.004884,            0.004884
                  61,             0.02095,           0.0082459,                   0,                   1,                   1,             0.99804,             0.60192,            0.025465,           0.0078195,                   0,           0.0047639,           0.0047639,           0.0047639
                  62,             0.02084,           0.0081111,                   0,                   1,                   1,             0.99768,             0.64215,            0.024151,           0.0074339,                   0,            0.004645,            0.004645,            0.004645
                  63,            0.020176,           0.0076244,                   0,             0.99509,              0.9951,             0.99479,              0.6322,            0.024349,              0.0075,                   0,           0.0045275,           0.0045275,           0.0045275
                  64,            0.020093,            0.008104,                   0,             0.99509,              0.9951,             0.99747,             0.62604,            0.024606,           0.0077314,                   0,           0.0044114,           0.0044114,           0.0044114
                  65,            0.019702,           0.0075343,                   0,              0.9951,              0.9951,             0.99629,             0.63025,            0.024557,           0.0076756,                   0,           0.0042969,           0.0042969,           0.0042969
                  66,            0.019803,           0.0075392,                   0,                   1,                   1,             0.99752,             0.60837,            0.025176,           0.0073533,                   0,            0.004184,            0.004184,            0.004184
                  67,            0.019036,           0.0076901,                   0,             0.99019,              0.9902,             0.99244,              0.5965,            0.025299,           0.0077843,                   0,            0.004073,            0.004073,            0.004073
                  68,            0.019335,           0.0076827,                   0,             0.99019,              0.9902,             0.99333,             0.62382,            0.025345,           0.0075849,                   0,           0.0039638,           0.0039638,           0.0039638
                  69,            0.018896,           0.0076071,                   0,              0.9951,              0.9951,              0.9936,             0.62099,            0.024832,           0.0075959,                   0,           0.0038567,           0.0038567,           0.0038567
                  70,            0.019386,           0.0073686,                   0,             0.98529,             0.98529,              0.9886,             0.60713,            0.025552,           0.0079506,                   0,           0.0037517,           0.0037517,           0.0037517
                  71,            0.018294,           0.0072844,                   0,             0.99509,              0.9951,             0.99437,              0.6334,            0.024369,           0.0075707,                   0,           0.0036489,           0.0036489,           0.0036489
                  72,            0.017906,           0.0073758,                   0,              0.9951,              0.9951,             0.99397,             0.62551,            0.025043,           0.0078808,                   0,           0.0035484,           0.0035484,           0.0035484
                  73,            0.018176,           0.0071476,                   0,             0.99999,                   1,              0.9967,              0.6043,            0.025305,           0.0081069,                   0,           0.0034503,           0.0034503,           0.0034503
                  74,            0.017564,           0.0071714,                   0,                   1,                   1,             0.99761,             0.62416,            0.024654,           0.0080252,                   0,           0.0033548,           0.0033548,           0.0033548
                  75,            0.017716,           0.0072088,                   0,                   1,                   1,             0.99805,             0.63863,              0.0246,            0.007957,                   0,           0.0032618,           0.0032618,           0.0032618
                  76,            0.017018,           0.0074531,                   0,                   1,                   1,              0.9981,             0.61506,              0.0254,           0.0080381,                   0,           0.0031716,           0.0031716,           0.0031716
                  77,            0.017552,           0.0072503,                   0,             0.99509,              0.9951,             0.99514,             0.61047,            0.026065,           0.0080676,                   0,           0.0030841,           0.0030841,           0.0030841
                  78,            0.016995,           0.0073254,                   0,                   1,                   1,             0.99822,             0.62059,            0.024547,           0.0080293,                   0,           0.0029996,           0.0029996,           0.0029996
                  79,            0.017453,           0.0072053,                   0,             0.99019,              0.9902,             0.99102,             0.61854,             0.02519,           0.0084848,                   0,           0.0029179,           0.0029179,           0.0029179
                  80,            0.016876,           0.0070411,                   0,                   1,                   1,              0.9983,              0.6299,            0.025378,           0.0082573,                   0,           0.0028394,           0.0028394,           0.0028394
                  81,             0.01653,           0.0068397,                   0,             0.99509,              0.9951,             0.99474,             0.62509,            0.025138,           0.0083765,                   0,           0.0027639,           0.0027639,           0.0027639
                  82,            0.016314,            0.006798,                   0,             0.99509,              0.9951,             0.99495,             0.62204,            0.025246,            0.008522,                   0,           0.0026917,           0.0026917,           0.0026917
                  83,            0.016207,           0.0066809,                   0,                   1,                   1,             0.99843,             0.59965,            0.025368,           0.0087097,                   0,           0.0026227,           0.0026227,           0.0026227
                  84,            0.015873,           0.0066835,                   0,                   1,                   1,             0.99838,               0.624,            0.025265,           0.0084022,                   0,            0.002557,            0.002557,            0.002557
                  85,            0.015248,           0.0067111,                   0,                   1,                   1,             0.99838,             0.63147,            0.024999,           0.0082969,                   0,           0.0024948,           0.0024948,           0.0024948
                  86,            0.015655,           0.0068143,                   0,                   1,                   1,             0.99834,             0.62089,            0.024505,           0.0083769,                   0,            0.002436,            0.002436,            0.002436
                  87,             0.01509,           0.0065914,                   0,                   1,                   1,             0.99859,             0.61424,             0.02504,           0.0084607,                   0,           0.0023807,           0.0023807,           0.0023807
                  88,            0.015468,           0.0064446,                   0,                   1,                   1,             0.99848,             0.61757,            0.025121,           0.0083435,                   0,            0.002329,            0.002329,            0.002329
                  89,            0.015461,           0.0067688,                   0,                   1,                   1,             0.99804,             0.61918,            0.025396,           0.0084887,                   0,           0.0022809,           0.0022809,           0.0022809
                  90,            0.014949,           0.0064389,                   0,                   1,                   1,             0.99854,             0.62427,            0.025684,           0.0083529,                   0,           0.0022365,           0.0022365,           0.0022365
                  91,            0.015083,           0.0064957,                   0,                   1,                   1,             0.99866,             0.62639,            0.025481,           0.0084393,                   0,           0.0021958,           0.0021958,           0.0021958
                  92,            0.014771,           0.0062999,                   0,                   1,                   1,             0.99866,             0.62185,            0.025255,           0.0083626,                   0,           0.0021588,           0.0021588,           0.0021588
                  93,            0.014778,           0.0065663,                   0,                   1,                   1,             0.99845,             0.62127,            0.025335,           0.0084513,                   0,           0.0021257,           0.0021257,           0.0021257
                  94,            0.014813,           0.0064118,                   0,             0.99508,              0.9951,             0.99585,             0.61667,            0.025582,           0.0085845,                   0,           0.0020963,           0.0020963,           0.0020963
                  95,            0.014546,           0.0064045,                   0,             0.99999,                   1,             0.99863,             0.63115,            0.024923,           0.0085608,                   0,           0.0020709,           0.0020709,           0.0020709
                  96,            0.014821,           0.0063609,                   0,                   1,                   1,             0.99862,             0.62484,            0.025126,            0.008622,                   0,           0.0020492,           0.0020492,           0.0020492
                  97,            0.013959,           0.0064494,                   0,                   1,                   1,             0.99883,             0.63749,            0.025078,           0.0084161,                   0,           0.0020315,           0.0020315,           0.0020315
                  98,            0.014911,           0.0061101,                   0,             0.99509,              0.9951,             0.99466,             0.62037,            0.024997,           0.0085517,                   0,           0.0020178,           0.0020178,           0.0020178
                  99,            0.013943,           0.0061654,                   0,                   1,                   1,             0.99885,             0.61088,            0.025444,           0.0085979,                   0,           0.0020079,           0.0020079,           0.0020079
