               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10129,            0.026249,                   0,            0.010823,                0.04,           0.0039475,          0.00060733,            0.068595,            0.024562,                   0,             0.00027,             0.00027,             0.09757
                   1,            0.076272,            0.028715,                   0,             0.45126,                0.56,              0.4009,            0.082382,            0.052665,            0.024429,                   0,          0.00054989,          0.00054989,             0.09505
                   2,            0.061535,            0.025563,                   0,             0.72551,                 0.8,             0.77418,             0.21866,            0.047722,            0.018803,                   0,          0.00082934,          0.00082934,            0.092529
                   3,            0.055421,            0.020928,                   0,             0.73317,               0.855,             0.84454,             0.30128,            0.043409,            0.014606,                   0,            0.001108,            0.001108,            0.090008
                   4,            0.053448,            0.017578,                   0,             0.75398,             0.90408,             0.80084,             0.31233,            0.039508,            0.012748,                   0,           0.0013856,           0.0013856,            0.087486
                   5,            0.050098,            0.015964,                   0,             0.75682,             0.93367,             0.86908,             0.32668,             0.04398,            0.011247,                   0,           0.0016618,           0.0016618,            0.084962
                   6,            0.047721,              0.0146,                   0,             0.87728,             0.92934,             0.92124,             0.33324,            0.038225,            0.010778,                   0,           0.0019362,           0.0019362,            0.082436
                   7,            0.045648,            0.013562,                   0,             0.93711,                0.97,             0.98601,             0.43874,            0.035936,           0.0098055,                   0,           0.0022085,           0.0022085,            0.079909
                   8,            0.043142,            0.012823,                   0,             0.81687,             0.95905,             0.92474,             0.42364,             0.03398,           0.0094644,                   0,           0.0024785,           0.0024785,            0.077378
                   9,            0.042292,            0.011946,                   0,             0.95652,                0.99,              0.9886,             0.44297,             0.03601,           0.0094472,                   0,           0.0027457,           0.0027457,            0.074846
                  10,            0.041997,            0.012007,                   0,             0.96568,               0.985,             0.99322,             0.48756,            0.034646,           0.0088475,                   0,           0.0030099,           0.0030099,             0.07231
                  11,            0.039364,             0.01132,                   0,             0.96508,                0.97,             0.97463,             0.40658,            0.038314,           0.0089328,                   0,           0.0032708,           0.0032708,            0.069771
                  12,            0.038893,            0.010988,                   0,             0.95515,                0.96,             0.97511,             0.51456,            0.032539,           0.0091738,                   0,            0.003528,            0.003528,            0.067228
                  13,              0.0385,            0.011351,                   0,             0.99502,             0.99986,             0.99506,             0.48047,             0.03503,           0.0081357,                   0,           0.0037814,           0.0037814,            0.064681
                  14,            0.036481,            0.010567,                   0,             0.97497,             0.97399,             0.97966,             0.40541,            0.035596,            0.007909,                   0,           0.0040305,           0.0040305,             0.06213
                  15,            0.036943,            0.010639,                   0,             0.99495,               0.995,             0.99494,             0.53468,            0.032047,           0.0077098,                   0,           0.0042751,           0.0042751,            0.059575
                  16,            0.035597,            0.010637,                   0,             0.95515,                0.96,             0.96744,             0.41786,             0.03595,            0.008057,                   0,            0.004515,            0.004515,            0.057015
                  17,            0.036996,            0.010069,                   0,             0.91773,             0.83661,             0.93326,             0.45701,             0.03884,           0.0076894,                   0,           0.0047498,           0.0047498,             0.05445
                  18,             0.04285,            0.010577,                   0,               0.985,             0.98496,             0.99354,             0.52144,            0.031817,           0.0078581,                   0,           0.0049794,           0.0049794,            0.051879
                  19,            0.039272,            0.010901,                   0,              0.9901,             0.99997,             0.99515,             0.49983,            0.034721,           0.0074742,                   0,           0.0052034,           0.0052034,            0.049303
                  20,            0.041005,            0.010592,                   0,             0.98029,             0.99496,             0.99423,             0.53847,            0.034791,           0.0077684,                   0,           0.0054216,           0.0054216,            0.046722
