               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076823,            0.027994,                   0,             0.46534,            0.033333,            0.032605,           0.0045227,            0.023964,            0.015309,                   0,               3e-05,               3e-05,             0.09973
                   1,            0.085902,            0.028248,                   0,             0.47013,            0.033333,            0.034379,           0.0042955,            0.024893,            0.014132,                   0,          6.9986e-05,          6.9986e-05,             0.09937
                   2,            0.080201,            0.026872,                   0,             0.49162,            0.033333,            0.033256,           0.0046848,             0.02475,            0.013071,                   0,          0.00010991,          0.00010991,             0.09901
                   3,            0.073015,             0.02984,                   0,              0.8122,            0.033333,            0.050595,           0.0066934,            0.024855,             0.01216,                   0,          0.00014973,          0.00014973,             0.09865
                   4,             0.05443,            0.030408,                   0,            0.046908,             0.16667,            0.055549,            0.007319,            0.024727,            0.011441,                   0,           0.0001894,           0.0001894,            0.098289
                   5,            0.054117,            0.029149,                   0,             0.04705,             0.16667,            0.059093,           0.0092158,            0.023962,             0.01086,                   0,          0.00022887,          0.00022887,            0.097929
                   6,            0.050164,            0.029441,                   0,            0.076066,                 0.3,            0.085985,            0.012294,            0.023029,            0.010424,                   0,          0.00026809,          0.00026809,            0.097568
                   7,             0.06287,            0.031429,                   0,            0.093244,             0.45936,            0.090075,            0.016432,            0.022247,            0.010075,                   0,          0.00030701,          0.00030701,            0.097207
                   8,            0.049808,             0.03018,                   0,             0.15408,             0.46149,             0.16596,             0.02942,            0.021366,           0.0097958,                   0,           0.0003456,           0.0003456,            0.096846
                   9,            0.057423,            0.029438,                   0,             0.26646,             0.36667,             0.17315,             0.03517,            0.020372,           0.0095737,                   0,          0.00038381,          0.00038381,            0.096484
                  10,            0.042065,            0.028737,                   0,             0.43065,                 0.4,             0.31664,            0.061029,            0.018764,           0.0094505,                   0,          0.00042158,          0.00042158,            0.096122
                  11,            0.039831,            0.030116,                   0,             0.36151,             0.46667,             0.34498,            0.078889,             0.01823,           0.0093379,                   0,          0.00045889,          0.00045889,            0.095759
                  12,            0.052982,            0.029738,                   0,             0.42098,             0.56667,             0.45484,             0.12331,            0.017652,           0.0093461,                   0,          0.00049567,          0.00049567,            0.095396
                  13,            0.038162,             0.02889,                   0,             0.67353,             0.43333,             0.56217,             0.16743,            0.016173,           0.0094851,                   0,          0.00053191,          0.00053191,            0.095032
